"114年01月 2308 台達電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"114/01/02","11,380,681","4,783,630,401","430.50","436.50","412.50","417.00","-13.50","26,479",
"114/01/03","9,851,603","4,096,589,825","419.50","422.00","412.50","414.00","-3.00","7,975",
"114/01/06","7,109,722","2,961,882,393","422.00","422.00","415.00","418.50","+4.50","6,043",
"114/01/07","7,751,389","3,332,968,536","425.00","434.00","423.50","432.00","+13.50","8,716",
"114/01/08","12,300,630","5,330,039,702","440.50","446.00","425.50","428.00","-4.00","10,523",
"114/01/09","5,235,447","2,201,723,648","428.00","430.00","417.00","417.50","-10.50","7,041",
"114/01/10","4,405,382","1,843,054,259","420.00","420.50","416.00","420.00","+2.50","3,927",
"114/01/13","9,734,037","3,938,130,763","413.50","415.50","400.00","400.00","-20.00","12,148",
"114/01/14","10,194,540","4,162,323,274","410.00","412.50","403.00","410.00","+10.00","7,554",
"114/01/15","9,458,307","3,794,806,928","404.50","406.50","398.50","400.50","-9.50","9,176",
"114/01/16","9,885,870","4,120,907,506","408.50","424.50","405.50","418.50","+18.00","9,049",
"114/01/17","6,581,399","2,771,287,018","421.00","426.00","414.50","422.00","+3.50","6,551",
"114/01/20","4,795,905","2,051,535,027","425.00","431.50","425.00","427.00","+5.00","5,398",
"114/01/21","6,714,879","2,837,203,178","425.00","428.50","418.50","421.50","-5.50","6,717",
"114/01/22","10,034,866","4,349,995,402","424.00","438.00","424.00","437.50","+16.00","12,433",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

